IP,Port,HTTP Code,Response Duration,Error message
45.76.43.163,8080,0,10.000090,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
88.218.66.241,8085,0,10.000091,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
91.243.89.105,8085,0,10.000054,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
186.47.41.146,53281,0,10.000070,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.251.182.93,8085,0,10.000103,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
101.255.120.170,6969,0,10.000093,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
88.218.65.130,8085,0,10.000098,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
109.236.52.11,8085,0,10.000084,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
45.67.212.91,8085,0,10.000040,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
193.32.86.99,8085,0,10.000077,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
45.7.231.86,8080,0,10.000083,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
193.32.86.226,8085,0,10.000093,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
77.104.250.236,53281,0,10.000042,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
188.94.164.178,8080,0,10.000062,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
213.166.78.87,8085,0,10.000082,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
178.159.107.150,8085,0,10.000099,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
92.220.168.252,80,0,10.000113,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
84.52.110.36,38674,0,10.000154,Head http://www.profinance.ru: net/http: request canceled (Client.Timeout exceeded while awaiting headers)
197.51.146.78,3128,0,10.000095,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.251.182.82,8085,0,10.000097,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
91.243.94.63,8085,0,10.000101,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
117.212.94.14,8080,0,10.000093,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
77.56.156.148,80,0,10.000066,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
68.177.71.125,39787,0,10.000083,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
91.243.94.248,8085,0,10.000094,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.89.2.65,34927,0,10.000154,Head http://www.profinance.ru: net/http: request canceled (Client.Timeout exceeded while awaiting headers)
185.132.133.187,8080,0,10.000047,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
186.226.179.2,56089,0,10.000168,Head http://www.profinance.ru: net/http: request canceled (Client.Timeout exceeded while awaiting headers)
185.252.215.167,8085,0,10.000058,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
37.44.255.123,8085,0,10.000046,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
45.67.212.91,8085,0,10.000047,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
189.3.226.180,36903,0,10.000056,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.208.209.34,8085,0,10.000163,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
200.127.61.133,8080,0,10.000097,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.209.149.140,8085,0,10.000037,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.89.2.65,34927,0,10.000162,Head http://www.profinance.ru: net/http: request canceled (Client.Timeout exceeded while awaiting headers)
91.203.240.210,80,0,10.000081,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
36.89.129.241,8080,0,10.000205,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.251.182.93,8085,0,10.000203,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
46.201.235.55,3128,0,10.000142,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.251.182.62,8085,0,10.000105,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
91.243.89.105,8085,0,10.000113,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
213.166.78.212,8085,0,10.000113,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
45.234.202.1,53281,0,10.000102,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.208.209.159,8085,0,10.000105,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
109.236.52.11,8085,0,10.000099,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
31.130.108.142,53281,0,10.000100,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
88.218.67.13,8085,0,10.000061,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
217.61.15.193,80,0,10.000093,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
78.188.4.124,34514,0,10.000099,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
146.185.204.53,8085,0,10.000103,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
45.234.202.1,53281,0,10.000111,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.208.209.139,8085,0,10.000091,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
45.70.84.213,42598,0,10.000158,Head http://www.profinance.ru: net/http: request canceled (Client.Timeout exceeded while awaiting headers)
112.133.218.84,8080,0,10.000061,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
118.98.223.101,443,0,10.000065,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.209.151.43,8085,0,10.000046,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
157.100.52.116,32652,0,10.000048,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.34.237.224,40410,0,10.000111,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
88.218.66.241,8085,0,10.000137,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
203.215.48.78,32064,0,10.000099,Head http://www.profinance.ru: net/http: request canceled (Client.Timeout exceeded while awaiting headers)
31.40.253.119,8085,0,10.000091,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
109.196.128.253,8085,0,10.000091,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.251.23.175,8085,0,10.000093,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
94.231.216.204,8085,0,10.000085,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
31.40.208.220,8085,0,10.000099,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
52.233.190.21,80,0,10.000068,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
91.243.92.232,8085,0,10.000106,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.105.101.142,5220,0,10.000086,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
78.188.4.124,34514,0,10.000091,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.252.214.118,8085,0,10.000107,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.253.6.203,8085,0,10.000054,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
47.89.249.166,80,0,10.000085,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.208.209.129,8085,0,10.000099,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
186.64.121.235,3128,0,10.000102,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
37.44.255.155,8085,0,10.000098,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.209.149.83,8085,0,10.000090,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
213.166.78.212,8085,0,10.000082,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
91.243.92.57,8085,0,10.000100,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
178.159.107.225,8085,0,10.000079,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
91.243.94.63,8085,0,10.000103,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
109.236.52.58,8085,0,10.000040,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.251.22.167,8085,0,10.000071,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
118.173.232.43,53586,0,10.000158,Head http://www.profinance.ru: net/http: request canceled (Client.Timeout exceeded while awaiting headers)
85.208.85.142,8085,0,10.000098,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
180.183.54.117,8213,0,10.000057,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
88.218.66.42,8085,0,10.000065,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
